,ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC,peak1_period,peak2_period,peak3_period,peak1_amp,peak2_amp,peak3_amp,num_sigpeaks
105,2279.83139,54,0.795740907,0.0036705640000000003,3773.0430950000004,640.7214157999999,0.8115265970000001,644.8640571000001,0.74,-0.15,5.81,0.03,QPS,203934728,383.7084921499991,42.63427690555545,17.44129509772723,0.14917557450736493,0.194635730896845,0.01672188430512078,3
106,26901.70822,49,0.613875319,0.024034339,21422.23307,5637.970739,0.642186087,5375.6866310000005,1.0,-0.31,19.78,0.13,B,203935537,383.8106470999992,21.32281372777773,10.661406863888866,0.024192746279251026,0.26491731110975336,0.049560790640064724,3
107,1859.751093,55,2.993653215,0.001950672,1504.065844,468.3086865,0.7518198140000001,454.57258319999994,0.66,0.79,8.93,0.55,QPD,203936815,383.6063354500016,38.36063354500016,23.9753959656251,0.18305300914868883,0.12295871225196538,0.0542323183211036,3
108,6162.968041,24,4.042861612,0.009834515,4811.291046,816.5042199,0.655249723,1386.448754,0.85,0.81,7.8,0.07,APD,203937317,15.352426061999992,19.190532577499994,383.8106515499999,0.0018546084627473513,0.007229749027084169,0.01195143416477132,1
109,161.5636655,16,0.75770504,0.265190257,140.65825769999998,37.63216932,0.822236568,10.94676573,0.31,-0.06,1.61,0.07,QPS,203938167,127.80063000000004,19.170094500000005,27.385849285714293,0.1726507346683333,0.04699898253552854,0.00932069618629631,3
110,17.15599131,43,0.7517887,0.571637093,12.49450823,3.008191045,0.7939811840000001,2.703511928,0.8,-0.05,2.55,0.11,QPS,203938591,12.377693467741915,47.96356218749992,10.370499932432415,0.007280188900955357,0.05895012864136198,0.014307286881103115,2
111,1691.020124,735,1.303916603,0.008773225,5362.948433,765.1844095,0.8466153790000001,403.08385899999996,0.59,-0.06,2.05,0.02,MP,203941868,378.7026216000003,42.07806906666671,25.246841440000026,0.8037726605871549,0.15358550220956618,0.04343173161591801,3
112,52.93180277,588,0.588742674,0.338691645,107.988996,13.21061992,0.809671488,4.970926052,1.0,-0.09,69.22,0.04,N,203943710,191.8542359749995,18.271831997619,38.370847194999904,0.7732992495472868,0.05559118578283467,0.19090235663270608,3
113,194.94078530000002,177,1.3711990840000001,0.21140715,158.9639503,10.66585188,0.718859482,12.58012615,1.0,-0.22,31.85,0.14,N,203945512,383.8106633999996,15.352426535999987,12.380989141935473,0.31608099598397177,0.0936988173941963,0.014633920278109558,3
114,13.88022925,4,0.960731023,1.2942813359999998,6.219400378,1.9413974999999999,0.78012472,1.387402636,0.84,0.0,28.69,0.16,S,203946909,6.613902528448261,4.310183670224709,4.855776539873406,0.005734892665373351,0.011771362005733216,0.002817491747721505,1
115,95.31804435,401,2.25928797,0.078671756,98.79095662,26.47731163,0.839423549,7.344606237000001,1.0,-0.18,45.89,0.06,L,203947305,383.81062835000193,38.38106283500019,1000.0,0.5898219882581116,0.5854904712083376,1000.0,2
116,2804.763542,80,5.000147874,0.004535411,2665.699751,337.8682481,0.6835866209999999,395.9876427,0.94,0.8,8.09,0.13,APD,203950167,382.9933221499982,27.356665867857014,38.29933221499982,0.392159779657378,0.022867529884294996,0.10709553300092693,3
117,471.86611849999997,337,0.26045920300000003,0.0048828909999999994,1065.324868,104.1206863,0.740148465,76.98217476,1.0,-0.83,34.45,0.17,B,203953466,383.50416675000133,42.61157408333348,25.566944450000086,0.5510723980679999,0.419233981894608,0.12297448859746024,3
118,9019.500234000001,70,0.035761725,0.0027092229999999998,8520.931245,243.6875866,0.720538661,669.8482286000001,0.61,-1.35,20.83,2.17,B,203954898,383.50416945000006,54.78630992142859,1000.0,0.014822643904780912,0.06565972865745758,1000.0,2
