ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC
52.93180277,588,0.588742674,0.338691645,107.988996,13.21061992,0.809671488,4.970926052,1,-0.09,69.22,0.04,N,203943710
194.9407853,177,1.371199084,0.21140715,158.9639503,10.66585188,0.718859482,12.58012615,1,-0.22,31.85,0.14,N,203945512
13.88022925,4,0.960731023,1.294281336,6.219400378,1.9413975,0.78012472,1.387402636,0.84,0,28.69,0.16,S,203946909
95.31804435,401,2.25928797,0.078671756,98.79095662,26.47731163,0.839423549,7.344606237,1,-0.18,45.89,0.06,L,203947305
2804.763542,80,5.000147874,0.004535411,2665.699751,337.8682481,0.683586621,395.9876427,0.94,0.8,8.09,0.13,APD,203950167
471.8661185,337,0.260459203,0.004882891,1065.324868,104.1206863,0.740148465,76.98217476,1,-0.83,34.45,0.17,B,203953466
9019.500234,70,0.035761725,0.002709223,8520.931245,243.6875866,0.720538661,669.8482286,0.61,-1.35,20.83,2.17,B,203954898
500.3547384,724,1.580747209,0.004823811,642.438901,164.3080106,0.814118846,50.78513738,1,0.19,34.78,0.07,L,203955457
78.42154226,15,1.180562803,0.407727669,38.01588844,14.63627401,0.797725182,3.415991398,0.53,0.24,0.68,0.09,MP,203956650
251.827494,35,2.13858295,0.018638274,188.7861477,42.36869451,0.667453079,48.16885146,0.88,0.51,15.94,0.41,APD,203962599
288.6926708,37,2.772016128,0.030807183,181.6267092,51.652995,0.74941465,57.84661634,0.74,0.68,4.9,0.44,QPD,203969672
1211.771731,39,1.063394578,0.010253904,2124.046092,303.3219339,0.813153518,404.5409147,0.45,0.07,3.38,0.04,QPS,203969721
22.66770362,13,1.115964465,0.250817754,13.28282174,6.49995078,0.807028106,5.112634234,0.84,0.14,3.68,0.31,S,203971352
241.0279941,59,1.146252169,0.033772504,535.908347,88.31871979,0.838786795,77.70301764,0.23,0.12,6.41,0.04,QPS,203972079
1305.011364,8,0.829107705,0.028161859,644.290609,570.6703871,0.85211885,55.51970374,0.09,-0.07,0.82,0.11,P,203981774
190.0320171,755,2.220291994,0.015899922,187.9676962,76.14229179,0.85804033,10.71893877,1,0.07,78.76,0.08,L,203982074
